Source,depth of cut (mm),cutting speed (m/menit),feed (mm/rev),tool nose radius (mm),workpiece hardness (brinell),Ra (mikrometer)
10.1016/j.jmatprotec.2007.11.082,0.75,141,0.25,0.8,156,2.76
10.1016/j.jmatprotec.2007.11.082,1,141,0.25,0.8,156,2.56
10.1016/j.jmatprotec.2007.11.082,0.5,283,0.25,0.8,156,2.74
10.1016/j.jmatprotec.2007.11.082,0.75,283,0.25,0.8,156,2.54
10.1016/j.jmatprotec.2007.11.082,1,283,0.25,0.8,156,2.87
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,200,0.2,0.8,255,3.6
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,200,0.2,0.8,255,4.21
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,0.5,200,0.2,0.8,255,3.72
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,200,0.25,0.8,255,5.19
https://www.researchgate.net/profile/Pankaj-Gavali/publication/331035581_Experimental_Investigation_of_Material_Removal_Rate_and_Surface_Roughness_in_Turning_of_EN9_Alloy_steel_using_Taguchi_Method/links/5c6279b2a6fdccb608bbcbdc/Experimental-Investigation-of-Material-Removal-Rate-and-Surface-Roughness-in-Turning-of-EN9-Alloy-steel-using-Taguchi-Method.pdf,1,200,0.25,0.8,255,5.51
