Sumber,f,N,d,Vy,Ra
10.1016/j.cie.2006.06.018,0.2286,3000,0.3048,0.8374,1.9
10.1016/j.cie.2006.06.018,0.1016,2750,0.381,0.4377,0.7
10.1016/j.cie.2006.06.018,0.2997,2500,0.3048,0.793,3.2
10.1016/j.cie.2006.06.018,0.2032,2750,0.2286,0.5962,1.6
10.1016/j.cie.2006.06.018,0.0864,3500,0.3048,0.5158,0.6
10.1016/j.cie.2006.06.018,0.193,3000,0.1524,0.5531,1.4
10.1016/j.cie.2006.06.018,0.1219,3500,0.4572,0.6764,0.6
10.1016/j.cie.2006.06.018,0.0762,3250,0.381,0.6359,0.6
10.1016/j.cie.2006.06.018,0.2642,2500,0.1524,0.5798,2.5
10.1016/j.cie.2006.06.018,0.2286,3000,0.3048,0.7101,2.0
10.1016/j.cie.2006.06.018,0.0508,3000,0.3048,0.3423,0.5
10.1016/j.cie.2006.06.018,0.0508,3000,0.1524,0.2812,0.5
10.1016/j.cie.2006.06.018,0.1575,2500,0.3048,0.4531,1.0
10.1016/j.cie.2006.06.018,0.0508,3500,0.3048,0.3483,0.5
10.1016/j.cie.2006.06.018,0.1016,3250,0.2286,0.5077,0.6
10.1016/j.cie.2006.06.018,0.1219,3000,0.1524,0.4978,0.7
10.1016/j.cie.2006.06.018,0.2286,3000,0.1524,0.6822,2.0
10.1016/j.cie.2006.06.018,0.0508,3250,0.2286,0.3487,0.5
10.1016/j.cie.2006.06.018,0.193,2500,0.3048,0.4799,1.3
10.1016/j.cie.2006.06.018,0.2032,2750,0.381,0.6368,1.5
10.1016/j.cie.2006.06.018,0.1524,2750,0.381,0.5959,0.9
10.1016/j.cie.2006.06.018,0.2997,3500,0.3048,1.032,3.1
10.1016/j.cie.2006.06.018,0.193,3500,0.3048,0.8334,1.3
10.1016/j.cie.2006.06.018,0.2997,2500,0.3048,0.72,3.2
10.1016/j.cie.2006.06.018,0.2997,3000,0.1524,0.6781,3.2
10.1016/j.cie.2006.06.018,0.2286,3000,0.1524,0.6436,2.0
10.1016/j.cie.2006.06.018,0.2997,2500,0.1524,0.6346,3.1
10.1016/j.cie.2006.06.018,0.1016,2750,0.2286,0.375,0.7
10.1016/j.cie.2006.06.018,0.0508,3000,0.3048,0.329,0.5
10.1016/j.cie.2006.06.018,0.2642,2500,0.1524,0.5547,2.5
10.1016/j.cie.2006.06.018,0.127,3250,0.2286,0.7076,0.8
10.1016/j.cie.2006.06.018,0.193,2500,0.1524,0.4385,1.4
10.1016/j.cie.2006.06.018,0.2032,3250,0.2286,0.7179,1.5
10.1016/j.cie.2006.06.018,0.2997,3000,0.4572,1.0308,3.1
10.1016/j.cie.2006.06.018,0.193,3500,0.1524,0.6996,1.3
10.1016/j.cie.2006.06.018,0.193,3000,0.4572,0.8572,1.3
10.1016/j.cie.2006.06.018,0.0864,2500,0.1524,0.298,0.7
10.1016/j.cie.2006.06.018,0.1575,2500,0.3048,0.3947,0.9
10.1016/j.cie.2006.06.018,0.0864,3000,0.4572,0.4883,0.5
10.1016/j.cie.2006.06.018,0.1575,3500,0.4572,0.8078,1.0
10.1016/j.cie.2006.06.018,0.2642,3000,0.1524,0.6932,2.6
10.1016/j.cie.2006.06.018,0.1219,3000,0.3048,0.5383,0.6
10.1016/j.cie.2006.06.018,0.2286,2500,0.4572,0.7202,1.9
10.1016/j.cie.2006.06.018,0.2642,3500,0.3048,0.9027,2.5
10.1016/j.cie.2006.06.018,0.1219,3000,0.1524,0.4582,0.7
10.1016/j.cie.2006.06.018,0.0508,2500,0.1524,0.2527,0.6
10.1016/j.cie.2006.06.018,0.2286,3500,0.3048,0.8385,2.0
10.1016/j.cie.2006.06.018,0.2286,2500,0.3048,0.5956,2.0
10.1016/j.cie.2006.06.018,0.0508,3500,0.3048,0.384,0.5
10.1016/j.cie.2006.06.018,0.1575,2500,0.4572,0.4433,1.0
10.1016/j.cie.2006.06.018,0.2997,3500,0.1524,0.9776,3.2
10.1016/j.cie.2006.06.018,0.193,3500,0.1524,0.6513,1.3
10.1016/j.cie.2006.06.018,0.1524,3250,0.2286,0.7629,0.9
10.1016/j.cie.2006.06.018,0.2642,3500,0.1524,0.8947,2.5
10.1016/j.cie.2006.06.018,0.1778,3250,0.381,0.7283,1.2
10.1016/j.cie.2006.06.018,0.1575,2500,0.1524,0.3959,0.8
10.1016/j.cie.2006.06.018,0.193,3000,0.4572,0.7344,1.3
10.1016/j.cie.2006.06.018,0.193,3500,0.4572,0.8808,1.3
10.1016/j.cie.2006.06.018,0.2997,3000,0.3048,0.8265,3.1
10.1016/j.cie.2006.06.018,0.0508,3500,0.1524,0.3669,0.4
10.1016/j.cie.2006.06.018,0.2997,2500,0.1524,0.5981,3.2
10.1016/j.cie.2006.06.018,0.1219,3500,0.1524,0.5209,0.8
